Name;XY Scope Project;
File;E:\hawino\Measurements\VarianceMeasurement\NewVarinaceMeasurements\Scope Project.csv;
Starttime of export;133228415217429000;Donnerstag, 9. März 2023;14:18:41.742
Endtime of export;133228415441340474;Donnerstag, 9. März 2023;14:19:04.134


Name;x, y X;x, y Y;xRef, yRef X;xRef, yRef Y;vYworldToSimulink;vXworldToSimulink
SampleTime[ms];10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True
SymbolName;TrackingController.observer.xCameraPose.x;TrackingController.observer.xCameraPose.y;TrackingController.trajectory.xRef;TrackingController.trajectory.yRef;TrackingController.observer.vYworldToSimulink;TrackingController.observer.vXworldToSimulink
NetID;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1
Port;851;851;851;851;851;851

970;1082.6923828125;992.544921875;1231;1000;-65.358684855441027;283.22186220010457
980;1082.6923828125;992.544921875;1253;1000;-59.659351157874987;321.04483486134603
990;1082.6923828125;992.544921875;1253;1000;-64.199170215978626;307.58224369462096
1000;1090.726806640625;992.0938720703125;1253;1000;-48.015761153612587;303.02063661780875
1010;1090.726806640625;992.0938720703125;1253;1000;-33.222856945160956;314.99789212526883
1020;1090.726806640625;992.0938720703125;1253;1000;-43.874631481092649;309.40156549134508
1030;1090.726806640625;992.0938720703125;1276;1000;-45.075518662918483;289.01411646906331
1040;1097.2264404296875;990.956787109375;1276;1000;-34.913171032267542;303.69759343723325
1050;1097.2264404296875;990.956787109375;1276;1000;-40.843886984116246;309.35045465566066
1060;1097.2264404296875;990.956787109375;1276;1000;-51.765788585226254;319.39063125454987
1070;1097.2264404296875;990.956787109375;1276;1000;-56.591640513160854;330.30406175007874
1080;1097.2264404296875;990.956787109375;1300;1000;-27.228507028845776;337.70825556428093
1090;1105.1673583984375;990.11834716796875;1300;1000;-3.6249960494666951;339.45282262049278
1100;1105.1673583984375;990.11834716796875;1300;1000;1.7323188130672378;331.26942523879194
1110;1105.1673583984375;990.11834716796875;1300;1000;-12.803823904081213;320.10902662437258
1120;1105.1673583984375;990.11834716796875;1300;1000;-28.183155333494391;337.38242001630539
1130;1121.965576171875;986.39178466796875;1325;1000;-31.560153275491686;351.04646976446219
1140;1121.965576171875;986.39178466796875;1325;1000;-36.808871909489952;384.78052195348243
1150;1121.965576171875;986.39178466796875;1325;1000;-63.591812731874775;403.40422948173511
1160;1121.965576171875;986.39178466796875;1325;1000;-53.292705089416863;382.19773887092344
1170;1130.566650390625;984.2073974609375;1325;1000;-1.1107796462709061;331.18171137289522
1180;1130.566650390625;984.2073974609375;1350;1000;37.929081344937629;354.02094299883981
1190;1130.566650390625;984.2073974609375;1350;1000;55.375156167162629;395.6638941314169
1200;1130.566650390625;984.2073974609375;1350;1000;43.8770322084757;405.94966570227297
1210;1130.566650390625;984.2073974609375;1350;1000;43.54218535766136;411.36897448052639
1220;1139.284423828125;982.03924560546875;1350;1000;48.466479540887718;435.77405784922087
1230;1139.284423828125;982.03924560546875;1375;1000;36.427199568174707;440.5246303202623
1240;1139.284423828125;982.03924560546875;1375;1000;28.305427976008964;440.76963267575769
1250;1139.284423828125;982.03924560546875;1375;1000;32.440700699636778;459.48574130886311
1260;1158.0711669921875;983.2110595703125;1375;1000;18.6804359219038;483.03545667233226
1270;1158.0711669921875;983.2110595703125;1375;1000;18.261211778454879;492.47328487712036
1280;1158.0711669921875;983.2110595703125;1400;1000;38.658816181119036;505.32733250909223
1290;1158.0711669921875;983.2110595703125;1400;1000;66.124944877922289;508.06171905576696
1300;1168.7825927734375;983.82830810546875;1400;1000;66.2419025841703;489.73937920514192
1310;1168.7825927734375;983.82830810546875;1400;1000;49.630474171129393;497.31793389651426
1320;1168.7825927734375;983.82830810546875;1400;1000;39.494246571628963;520.50549188328534
1330;1168.7825927734375;983.82830810546875;1425;1000;68.603127673293145;551.9838149735441
1340;1168.7825927734375;983.82830810546875;1425;1000;76.999385308461555;579.89082669530819
1350;1179.83154296875;984.6385498046875;1425;1000;45.875019021395318;557.85691858127939
1360;1179.83154296875;984.6385498046875;1425;1000;17.174447648227421;514.99909217022218
1370;1179.83154296875;984.6385498046875;1425;1000;12.509593733313324;536.94208406436871
1380;1179.83154296875;984.6385498046875;1450;1000;34.368911406592353;567.93787123140282
1390;1202.831787109375;987.7357177734375;1450;1000;46.532277022700441;601.1063893888379
1400;1202.831787109375;987.7357177734375;1450;1000;68.231806086067749;600.79120934680759
1410;1202.831787109375;987.7357177734375;1450;1000;49.105932597332696;543.20828582279671
1420;1202.831787109375;987.7357177734375;1450;1000;36.558211427176637;537.17375361508027
1430;1217.2406005859375;989.82080078125;1475;1000;38.301573777752971;587.31903512397514
1440;1217.2406005859375;989.82080078125;1475;1000;33.9326773042035;618.52470916277832
1450;1217.2406005859375;989.82080078125;1475;1000;75.0631986328753;602.89597969620525
1460;1217.2406005859375;989.82080078125;1475;1000;120.5252204695492;581.07743658818526
1470;1231.559326171875;992.595947265625;1475;1000;100.00966469585418;545.79021525730707
1480;1231.559326171875;992.595947265625;1500;1000;51.340910016149564;526.8398126800555
1490;1231.559326171875;992.595947265625;1500;1000;79.8093560822703;566.69723568096856
1500;1231.559326171875;992.595947265625;1500;1000;85.204899727078981;589.14089709118286
1510;1231.559326171875;992.595947265625;1500;1000;77.029669088533851;603.71095244015316
1520;1263.213623046875;997.20294189453125;1500;1000;74.299344438431831;614.23899332239159
1530;1263.213623046875;997.20294189453125;1525;1000;47.489999549559741;607.96557841848744
1540;1263.213623046875;997.20294189453125;1525;1000;31.552242443050631;597.20474469741418
1550;1263.213623046875;997.20294189453125;1525;1000;57.044226850239596;590.53923936637
1560;1282.15771484375;997.666748046875;1525;1000;88.924828583458122;599.32584101954831
1570;1282.15771484375;997.666748046875;1525;1000;77.109126454086407;624.58071648212865
1580;1282.15771484375;997.666748046875;1550;1000;63.537493845949285;632.18217597088858
1590;1282.15771484375;997.666748046875;1550;1000;37.296057458364004;636.31668558074421
1600;1282.15771484375;997.666748046875;1550;1000;-1.7713974054691448;599.80174379438768
1610;1302.196533203125;998.3262939453125;1550;1000;14.337980028672234;570.25739272730846
1620;1302.196533203125;998.3262939453125;1550;1000;21.604939096729964;629.42386602643671
1630;1302.196533203125;998.3262939453125;1575;1000;62.005443743584053;640.37325652073719
1640;1302.196533203125;998.3262939453125;1575;1000;52.941536528388752;630.62159197489416
1650;1320.26904296875;1001.7113037109375;1575;1000;1.0528370245506125;616.48148922720134
1660;1320.26904296875;1001.7113037109375;1575;1000;12.997059129755229;629.048700280524
1670;1320.26904296875;1001.7113037109375;1575;1000;25.463535882818903;626.40012812071859
1680;1320.26904296875;1001.7113037109375;1600;1000;25.49268077880707;576.56853223763369
1690;1320.26904296875;1001.7113037109375;1600;1000;32.492227369480446;604.69355762544944
1700;1361.214599609375;1005.0155639648438;1600;1000;34.2477706689494;686.15480822492884
1710;1361.214599609375;1005.0155639648438;1600;1000;-0.42536228325649006;629.90544856425583
1720;1361.214599609375;1005.0155639648438;1600;1000;-32.264289652168216;532.2759825165399
1730;1361.214599609375;1005.0155639648438;1625;1000;26.204362869464603;541.08118528036948
1740;1382.4180908203125;1004.1297607421875;1625;1000;19.684465372059336;589.10520998101072
1750;1382.4180908203125;1004.1297607421875;1625;1000;-22.989740700373147;615.00738076472692
1760;1382.4180908203125;1004.1297607421875;1625;1000;-43.482679808602526;551.6581055213303
1770;1382.4180908203125;1004.1297607421875;1625;1000;-55.678197665983504;506.48785507436196
1780;1405.4371337890625;1006.7684326171875;1650;1000;-17.896563208989249;489.22497792070908
1790;1405.4371337890625;1006.7684326171875;1650;1000;29.814684457192214;556.01322592117685
1800;1405.4371337890625;1006.7684326171875;1650;1000;8.7069821646566936;601.50849920872747
1810;1405.4371337890625;1006.7684326171875;1650;1000;-81.298268011726677;523.62690906902526
1820;1445.8018798828125;1009.1895751953125;1650;1000;-91.069209450688433;461.57164300613795
1830;1445.8018798828125;1009.1895751953125;1675;1000;-4.0687394302705115;487.48357318246121
1840;1445.8018798828125;1009.1895751953125;1675;1000;6.5085629051323366;581.972259848361
