BitMask;0xffffffffffffffff;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff
Unit;(None);(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None)
Unit ScaleFactor;1;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1
Unit Offset;0;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0

190;4950.60693359375;1546.142822265625;190;397.21143254837295;190;400;190;-29.401298398333324;190;0;190;-0.21778739554320981;190;0;190;565;190;-1;190;282;190;4950.60693359375;190;1546.142822265625;190;1.8514711856842041;190;-3.0436153411865234;190;0;190;0;190;0
200;4950.60693359375;1546.142822265625;200;397.21143254837295;200;400;200;-29.401298398333324;200;0;200;-0.21778739554320981;200;0;200;565;200;-1;200;282;200;4950.60693359375;200;1546.142822265625;200;1.8514711856842041;200;-3.0436153411865234;200;0;200;0;200;0
210;4950.60693359375;1546.142822265625;210;397.21143254837295;210;400;210;-29.401298398333324;210;0;210;-0.21778739554320981;210;0;210;565;210;-1;210;282;210;4950.60693359375;210;1546.142822265625;210;1.8514711856842041;210;-3.0436153411865234;210;0;210;0;210;0
220;4950.60693359375;1546.142822265625;220;397.21143254837295;220;400;220;-29.401298398333324;220;0;220;-0.21778739554320981;220;0;220;565;220;-1;220;282;220;4950.60693359375;220;1546.142822265625;220;1.8514711856842041;220;-3.0436153411865234;220;0;220;0;220;0
230;4950.60693359375;1546.142822265625;230;397.21143254837295;230;400;230;-29.401298398333324;230;0;230;-0.21778739554320981;230;0;230;565;230;-1;230;282;230;4950.60693359375;230;1546.142822265625;230;1.8514711856842041;230;-3.0436153411865234;230;0;230;0;230;0
240;4950.60693359375;1546.142822265625;240;397.21143254837295;240;400;240;-29.401298398333324;240;0;240;-0.21778739554320981;240;0;240;565;240;-1;240;282;240;4950.60693359375;240;1546.142822265625;240;1.8514711856842041;240;-3.0436153411865234;240;0;240;0;240;0
250;4950.60693359375;1546.142822265625;250;397.21143254837295;250;400;250;-29.401298398333324;250;0;250;-0.21778739554320981;250;0;250;565;250;-1;250;282;250;4950.60693359375;250;1546.142822265625;250;1.8514711856842041;250;-3.0436153411865234;250;0;250;0;250;0
260;4950.60693359375;1546.142822265625;260;397.21143254837295;260;400;260;-29.401298398333324;260;0;260;-0.21778739554320981;260;0;260;565;260;-1;260;282;260;4950.60693359375;260;1546.142822265625;260;1.8514711856842041;260;-3.0436153411865234;260;0;260;0;260;0
270;4950.60693359375;1546.142822265625;270;397.21143254837295;270;400;270;-29.401298398333324;270;0;270;-0.21778739554320981;270;0;270;565;270;-1;270;282;270;4950.60693359375;270;1546.142822265625;270;1.8514711856842041;270;-3.0436153411865234;270;0;270;0;270;0
280;4950.60693359375;1546.142822265625;280;397.21143254837295;280;400;280;-29.401298398333324;280;0;280;-0.21778739554320981;280;0;280;565;280;-1;280;282;280;4950.60693359375;280;1546.142822265625;280;1.8514711856842041;280;-3.0436153411865234;280;0;280;0;280;0
290;4950.60693359375;1546.142822265625;290;397.21143254837295;290;400;290;-29.401298398333324;290;0;290;-0.21778739554320981;290;0;290;565;290;-1;290;282;290;4950.60693359375;290;1546.142822265625;290;1.8514711856842041;290;-3.0436153411865234;290;0;290;0;290;0
300;4950.60693359375;1546.142822265625;300;397.21143254837295;300;400;300;-29.401298398333324;300;0;300;-0.21778739554320981;300;0;300;565;300;-1;300;282;300;4950.60693359375;300;1546.142822265625;300;1.8514711856842041;300;-3.0436153411865234;300;0;300;0;300;0
310;4950.60693359375;1546.142822265625;310;397.21143254837295;310;400;310;-29.401298398333324;310;0;310;-0.21778739554320981;310;0;310;565;310;-1;310;282;310;4950.60693359375;310;1546.142822265625;310;1.8514711856842041;310;-3.0436153411865234;310;0;310;0;310;0
320;4950.60693359375;1546.142822265625;320;397.21143254837295;320;400;320;-29.401298398333324;320;0;320;-0.21778739554320981;320;0;320;565;320;-1;320;282;320;4950.60693359375;320;1546.142822265625;320;1.8514711856842041;320;-3.0436153411865234;320;0;320;0;320;0
330;4950.60693359375;1546.142822265625;330;397.21143254837295;330;400;330;-29.401298398333324;330;0;330;-0.21778739554320981;330;0;330;565;330;-1;330;282;330;4950.60693359375;330;1546.142822265625;330;1.8514711856842041;330;-3.0436153411865234;330;0;330;0;330;0
340;4950.60693359375;1546.142822265625;340;397.21143254837295;340;400;340;-29.401298398333324;340;0;340;-0.21778739554320981;340;0;340;565;340;-1;340;282;340;4950.60693359375;340;1546.142822265625;340;1.8514711856842041;340;-3.0436153411865234;340;0;340;0;340;0
350;4950.60693359375;1546.142822265625;350;397.21143254837295;350;400;350;-29.401298398333324;350;0;350;-0.21778739554320981;350;0;350;565;350;-1;350;282;350;4950.60693359375;350;1546.142822265625;350;1.8514711856842041;350;-3.0436153411865234;350;0;350;0;350;0
360;4950.60693359375;1546.142822265625;360;397.21143254837295;360;400;360;-29.401298398333324;360;0;360;-0.21778739554320981;360;0;360;565;360;-1;360;282;360;4950.60693359375;360;1546.142822265625;360;1.8514711856842041;360;-3.0436153411865234;360;0;360;0;360;0
370;4950.60693359375;1546.142822265625;370;397.21143254837295;370;400;370;-29.401298398333324;370;0;370;-0.21778739554320981;370;0;370;565;370;-1;370;282;370;4950.60693359375;370;1546.142822265625;370;1.8514711856842041;370;-3.0436153411865234;370;0;370;0;370;0
380;4950.60693359375;1546.142822265625;380;397.21143254837295;380;400;380;-29.401298398333324;380;0;380;-0.21778739554320981;380;0;380;565;380;-1;380;282;380;4950.60693359375;380;1546.142822265625;380;1.8514711856842041;380;-3.0436153411865234;380;0;380;0;380;0
390;4950.60693359375;1546.142822265625;390;397.21143254837295;390;400;390;-29.401298398333324;390;0;390;-0.21778739554320981;390;0;390;565;390;-1;390;282;390;4950.60693359375;390;1546.142822265625;390;1.8514711856842041;390;-3.0436153411865234;390;0;390;0;390;0
400;4950.60693359375;1546.142822265625;400;397.21143254837295;400;400;400;-29.401298398333324;400;0;400;-0.21778739554320981;400;0;400;565;400;-1;400;282;400;4950.60693359375;400;1546.142822265625;400;1.8514711856842041;400;-3.0436153411865234;400;0;400;0;400;0
410;4950.60693359375;1546.142822265625;410;397.21143254837295;410;400;410;-29.401298398333324;410;0;410;-0.21778739554320981;410;0;410;565;410;-1;410;282;410;4950.60693359375;410;1546.142822265625;410;1.8514711856842041;410;-3.0436153411865234;410;0;410;0;410;0
420;4950.60693359375;1546.142822265625;420;397.21143254837295;420;400;420;-29.401298398333324;420;0;420;-0.21778739554320981;420;0;420;565;420;-1;420;282;420;4950.60693359375;420;1546.142822265625;420;1.8514711856842041;420;-3.0436153411865234;420;0;420;0;420;0
430;4950.60693359375;1546.142822265625;430;397.21143254837295;430;400;430;-29.401298398333324;430;0;430;-0.21778739554320981;430;0;430;565;430;-1;430;282;430;4950.60693359375;430;1546.142822265625;430;1.8514711856842041;430;-3.0436153411865234;430;0;430;0;430;0
440;4950.60693359375;1546.142822265625;440;397.21143254837295;440;400;440;-29.401298398333324;440;0;440;-0.21778739554320981;440;0;440;565;440;-1;440;282;440;4950.60693359375;440;1546.142822265625;440;1.8514711856842041;440;-3.0436153411865234;440;0;440;0;440;0
450;4950.60693359375;1546.142822265625;450;397.21143254837295;450;400;450;-29.401298398333324;450;0;450;-0.21778739554320981;450;0;450;565;450;-1;450;282;450;4950.60693359375;450;1546.142822265625;450;1.8514711856842041;450;-3.0436153411865234;450;0;450;0;450;0
