Name;YT Scope Project;
File;E:\hawino\Measurements\ParameterEstimation\parameter_in_x_fb8.csv;
Starttime of export;133161971538526000;Donnerstag, 22. Dezember 2022;16:39:13.852
Endtime of export;133161972024408172;Donnerstag, 22. Dezember 2022;16:40:02.440


Name;vtheta;vtheta_ref;vx;vx_ref;vy;vy_ref
1470;0.43625000000000008;0;454.72439177779705;500;77.739750000000015;0
1480;0.23072777777777778;0;450.1907487889855;500;31.14825;0
1490;0.042655555555555613;0;484.64643550395323;500;-21.725249999999978;0
1500;-0.06786111111111108;0;534.96987267976124;500;-63.343500000000006;0
1510;-0.14541666666666656;0;565.79864500367967;500;-73.813499999999991;0
1520;-0.069799999999999876;0;539.50351566857273;500;-50.255999999999993;0
1530;0.060105555555555613;0;487.3666212972401;500;-17.013749999999998;0
1540;0.11245555555555563;0;509.58147194241673;500;10.470000000000008;0
1550;0.07173888888888881;0;561.71836631374936;500;17.53724999999999;0
1560;-0.095005555555555482;0;566.705373601442;500;3.6645000000000132;0
1570;-0.24623888888888898;0;549.024165945077;500;-22.24874999999999;0
1580;-0.22685000000000019;0;559.45154481934355;500;-29.839500000000005;0
1590;-0.10663888888888881;0;568.51883079696665;500;-13.61099999999999;0
1600;-0.0096944444444444;0;563.53182350927386;500;4.9732500000000073;0
1610;0.069800000000000015;0;554.01117323276969;500;25.128000000000004;0
1620;0.23654444444444431;0;578.492845372352;500;52.349999999999987;0
1630;0.44594444444444464;0;601.61442461529077;500;93.968250000000012;0
1640;0.27338333333333337;0;564.43855210703623;500;80.880749999999992;0
1650;-0.16674444444444442;0;486.45989269947785;500;8.1142500000000073;0
1660;-0.11245555555555549;0;564.43855210703623;500;-15.96674999999999;0
1670;-0.10857777777777761;0;647.40421880228735;500;-35.074499999999979;0
1680;-0.10082222222222229;0;631.53646834144706;500;-70.934250000000034;0
1690;0.18807222222222217;0;563.53182350927386;500;-39.000750000000018;0
1700;0.29664999999999991;0;516.381936425634;500;0.78525000000000011;0
1710;0.1977666666666667;0;569.87892369361009;500;18.060750000000002;0
1720;0.15317222222222229;0;622.01581806494278;500;23.03400000000001;0
1730;0.032961111111111073;0;637.88356852578318;500;10.731749999999996;0
1740;-0.050411111111111212;0;647.85758310116842;500;-6.0202499999999946;0
1750;-0.052349999999999869;0;650.5777688944554;500;-7.0672499999999827;0
1760;0.22491111111111126;0;614.7619892828443;500;28.792500000000018;0
1770;0.33736666666666659;0;604.33461040857776;500;41.618249999999989;0
