Name;YT Scope Project;
File;E:\hawino\Measurements\ParameterEstimation\parameter_in_y_fb8.csv;
Starttime of export;133161975881726000;Donnerstag, 22. Dezember 2022;16:46:28.172
Endtime of export;133161976284495671;Donnerstag, 22. Dezember 2022;16:47:08.449


Name;vtheta;vtheta_ref;vx;vx_ref;vy;vy_ref
1850;-0.019388888888888886;0;-7.7071930809796143;0;86.11575;100
1860;0.0058166666666666506;0;-1.8134571955246135;0;81.666000000000011;100
1870;0.019388888888888886;0;4.5336429888115353;0;93.7065;100
1880;-0.0058166666666666506;0;-4.0802786899303793;0;91.87425;100
1890;0.021327777777777807;0;-1.3600928966434611;0;95.53875;100
1900;0.011633333333333319;0;-1.8134571955246135;0;95.8005;100
1910;0.015511111111111102;0;2.7201857932869222;0;97.8945;100
1920;0.032961111111111122;0;3.626914391049231;0;102.606;100
1930;0.013572222222222218;0;1.8134571955246135;0;99.9885;100
1940;-0.0096944444444444344;0;0.90672859776230463;0;103.1295;100
1950;-0.001938888888888901;0;3.626914391049227;0;105.747;100
1960;-0.015511111111111137;0;0;0;106.27050000000001;100
1970;-0.023266666666666654;0;-2.26682149440577;0;106.00875;100
1980;0;0;0.90672859776230463;0;105.2235;100
1990;-0.0058166666666666679;0;0;0;106.79400000000003;100
2000;0.0058166666666666679;0;-3.1735500921680786;0;106.00875;100
2010;0.0038777777777777669;0;-1.8134571955246175;0;99.465000000000018;100
2020;-0.021327777777777789;0;-1.8134571955246135;0;103.12950000000001;100
2030;-0.054288888888888873;0;-0.45336429888115232;0;111.24375000000002;100
2040;-0.021327777777777772;0;-4.0802786899303829;0;103.91474999999998;100
2050;-0.029083333333333322;0;-5.8937358854549968;0;106.00875;100
2060;0.0077555555555555511;0;-1.8134571955246135;0;101.55900000000001;100
2070;0.050411111111111143;0;0;0;99.464999999999989;100
2080;0.058166666666666679;0;-1.3600928966434611;0;102.86775;100
2090;0.038777777777777772;0;-1.3600928966434611;0;97.109250000000017;100
2100;0.052350000000000008;0;-1.8134571955246175;0;100.512;100
2110;0.11633333333333336;0;-2.7201857932869222;0;87.948;100
2120;0.083372222222222236;0;-0.45336429888115232;0;83.49825;100
2130;0.01551111111111112;0;3.1735500921680746;0;97.109249999999989;100
2140;0.12408888888888889;0;-0.90672859776230463;0;85.854;100
2150;0.052350000000000028;0;-3.1735500921680746;0;104.43825;100
2160;0.046533333333333343;0;4.0802786899303829;0;76.169249999999991;100
2170;0.1047;0;2.7201857932869222;0;67.531500000000008;100
2180;0.056227777777777779;0;0.90672859776230463;0;105.747;100
2190;0.046533333333333309;0;-1.3600928966434611;0;82.45125;100
2200;0.032961111111111108;0;-2.2668214944057659;0;78.263250000000014;100
2210;0.031022222222222222;0;-1.8134571955246135;0;109.4115;100
2220;0.0853111111111111;0;3.626914391049231;0;94.753499999999988;100
2230;-0.042655555555555544;0;-0.45336429888115642;0;89.256750000000011;100
2240;-0.036838888888888893;0;-0.45336429888115232;0;93.968250000000012;100
2250;0.075616666666666679;0;-0.45336429888115642;0;87.16275;100
2260;0.025205555555555554;0;-0.45336429888115232;0;85.06875;100
2270;-0.060105555555555523;0;3.626914391049227;0;112.029;100
2280;0.025205555555555554;0;-1.8134571955246135;0;101.55900000000001;100
2290;0.048472222222222229;0;-5.8937358854549968;0;96.06225;100
2300;-0.021327777777777789;0;2.7201857932869222;0;112.55250000000001;100
2310;0.003877777777777802;0;5.4403715865738445;0;93.182999999999993;100
2320;-0.025205555555555554;0;-1.8134571955246135;0;96.324;100
2330;-0.034900000000000007;0;-5.4403715865738445;0;113.07600000000001;100
2340;-0.0077555555555555338;0;2.7201857932869222;0;105.747;100
2350;-0.085311111111111115;0;4.0802786899303829;0;111.76724999999999;100
2360;-0.081433333333333344;0;-2.26682149440577;0;107.57925;100
2370;-0.027144444444444457;0;-7.7071930809796143;0;113.33774999999999;100
2380;-0.048472222222222208;0;0.45336429888115232;0;122.23725000000002;100
2390;-0.050411111111111129;0;5.8937358854549968;0;110.19675000000001;100
2400;-0.095005555555555551;0;0;0;112.029;100
2410;-0.058166666666666644;0;-7.70719308097961;0;117.00224999999999;100
2420;0.036838888888888893;0;-7.2538287820984575;0;110.98200000000001;100
2430;0.062044444444444465;0;4.5336429888115353;0;101.0355;100
2440;-0.054288888888888893;0;15.414386161959222;0;104.17649999999999;100
2450;-0.15123333333333336;0;6.3471001843361492;0;127.21050000000001;100
2460;-0.0019388888888888835;0;-1.8134571955246135;0;121.45200000000001;100
2470;0.023266666666666654;0;-9.97401457538538;0;113.07600000000001;100
2480;-0.11633333333333332;0;2.26682149440577;0;110.72025000000001;100
2490;-0.14153888888888888;0;19.494664851889606;0;112.81425;100
2500;-0.023266666666666706;0;9.97401457538538;0;120.9285;100
2510;-0.0038777777777777491;0;-16.774479058602687;0;124.33125;100
2520;-0.081433333333333316;0;-9.5206502765042238;0;102.86775;100
2530;-0.091127777777777766;0;24.481672139582297;0;99.9885;100
2540;-0.036838888888888907;0;19.041300553008451;0;104.17649999999999;100
2550;0.0135722222222222;0;-18.5879362541273;0;105.48525;100
2560;0.032961111111111087;0;-14.054293265315764;0;112.81425;100
2570;-0.040716666666666658;0;17.227843357483838;0;94.23;100
2580;-0.10082222222222219;0;12.694200368672302;0;83.759999999999991;100
2590;0.038777777777777807;0;-16.321114759721532;0;91.6125;100
2600;0.091127777777777766;0;-17.227843357483842;0;102.60600000000001;100
2610;-0.042655555555555544;0;12.6942003686723;0;85.3305;100
2620;-0.0756166666666667;0;19.041300553008451;0;80.0955;100
2630;0.044594444444444423;0;-10.880743173147684;0;91.612500000000011;100
2640;0.098883333333333323;0;-24.48167213958229;0;94.23;100
2650;-0.0038777777777777491;0;14.96102186307807;0;69.36375;100
2660;-0.0038777777777777669;0;26.295129335106907;0;74.8605;100
2670;0.073677777777777786;0;-4.9870072876926876;0;98.679750000000013;100
2680;0.095005555555555565;0;-31.2821366227996;0;94.49175000000001;100
2690;-0.0891888888888889;0;6.3471001843361492;0;79.0485;100
2700;-0.038777777777777772;0;24.028307840701142;0;88.209749999999985;100
2710;0.10663888888888888;0;-4.9870072876926876;0;107.05575;100
2720;0.0077555555555555338;0;-21.761486346295367;0;99.9885;100
2730;-0.12021111111111112;0;4.5336429888115353;0;87.424500000000009;100
2740;0.0096944444444444344;0;11.334107472028837;0;100.25025000000001;100
2750;0.13766111111111112;0;-3.17355009216807;0;120.66675000000002;100
2760;-0.029083333333333322;0;-9.97401457538538;0;98.9415;100
2770;-0.11633333333333332;0;-2.26682149440577;0;84.02175;100
2780;0.052350000000000008;0;5.4403715865738445;0;114.64649999999999;100
2790;0.16868333333333338;0;-0.90672859776230463;0;127.21049999999998;100
2800;-0.046533333333333343;0;0.45336429888115642;0;95.01525;100
2810;-0.15898888888888887;0;0.45336429888115232;0;82.974749999999986;100
2820;0.065922222222222229;0;4.9870072876926921;0;111.76724999999999;100
2830;0.15705;0;-8.1605573798607658;0;125.64;100
2840;-0.085311111111111115;0;-3.1735500921680746;0;88.20975;100
2850;-0.15123333333333333;0;-2.266821494405769;0;76.16925;100
2860;0.0717388888888889;0;-7.2538287820984575;0;101.55900000000001;100
2870;0.1900111111111111;0;-7.2538287820984539;0;126.1635;100
2880;-0.11439444444444442;0;-4.98700728769269;0;86.63925;100
2890;-0.18419444444444444;0;3.1735500921680755;0;78.78675;100
2900;0.093066666666666645;0;-0.90672859776230463;0;113.07600000000001;100
2910;0.1745;0;-18.134571955246141;0;130.35150000000002;100
2920;-0.067861111111111108;0;-10.880743173147689;0;82.713000000000008;100
2930;-0.14347777777777779;0;15.41438616195922;0;79.572;100
2940;0.13378333333333334;0;9.06728597762307;0;111.5055;100
2950;0.20552222222222225;0;-7.70719308097961;0;122.76075000000002;100
