SymbolName;Camera.cameraData.robotPosition[2].x;Camera.cameraData.robotPosition[2].y;SymbolName;WheelEncoders.vXCartesianFromMotors;SymbolName;MotorDrivers.vXCartesianToMotors;SymbolName;WheelEncoders.vYCartesianFromMotors;SymbolName;MotorDrivers.vYCartesianToMotors;SymbolName;WheelEncoders.vthetaCartesianFromMotors;SymbolName;MotorDrivers.vThetaCartesianToMotors;SymbolName;ParameterEstimation.i1;SymbolName;Camera.cameraData.robotPosition[2].x;SymbolName;Camera.cameraData.robotPosition[2].y;SymbolName;Camera.cameraData.robotPosition[2].e;SymbolName;Camera.cameraData.robotPosition[2].theta
NetID;5.53.207.184.1.1;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1;NetID;5.53.207.184.1.1
Port;851;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851;Port;851
Offset;0;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0;Offset;0
ScaleFactor;1;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1;ScaleFactor;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff;BitMask;0xffffffffffffffff
Unit;(None);(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None);Unit;(None)
Unit ScaleFactor;1;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1;Unit ScaleFactor;1
Unit Offset;0;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0;Unit Offset;0

300;4715.9755859375;1617.81884765625;300;0;300;0;300;0;300;0;300;0;300;0;300;-4;300;4715.9755859375;300;1617.81884765625;300;4.4229030609130859;300;-2.7150387763977051
310;4715.9755859375;1617.81884765625;310;0;310;0;310;0;310;0;310;0;310;0;310;-13;310;4715.9755859375;310;1617.81884765625;310;4.4229030609130859;310;-2.7150387763977051
320;4716.0400390625;1617.8446044921875;320;0;320;0;320;0;320;0;320;0;320;0;320;9;320;4716.0400390625;320;1617.8446044921875;320;4.929832935333252;320;-2.7154181003570557
330;4716.0400390625;1617.8446044921875;330;0;330;0;330;0;330;0;330;0;330;0;330;-9;330;4716.0400390625;330;1617.8446044921875;330;4.929832935333252;330;-2.7154181003570557
340;4716.0400390625;1617.8446044921875;340;0;340;0;340;0;340;0;340;0;340;0;340;-4;340;4716.0400390625;340;1617.8446044921875;340;4.929832935333252;340;-2.7154181003570557
350;4716.0400390625;1617.8446044921875;350;0;350;0;350;0;350;0;350;0;350;0;350;-6;350;4716.0400390625;350;1617.8446044921875;350;4.929832935333252;350;-2.7154181003570557
360;4716.01318359375;1617.7630615234375;360;0;360;0;360;0;360;0;360;0;360;0;360;-6;360;4716.01318359375;360;1617.7630615234375;360;4.8255844116210938;360;-2.715491771697998
370;4716.01318359375;1617.7630615234375;370;0;370;0;370;0;370;0;370;0;370;0;370;-2;370;4716.01318359375;370;1617.7630615234375;370;4.8255844116210938;370;-2.715491771697998
380;4716.01318359375;1617.7630615234375;380;0;380;0;380;0;380;0;380;0;380;0;380;-4;380;4716.01318359375;380;1617.7630615234375;380;4.8255844116210938;380;-2.715491771697998
390;4716.01318359375;1617.7630615234375;390;0;390;0;390;0;390;0;390;0;390;0;390;-1;390;4716.01318359375;390;1617.7630615234375;390;4.8255844116210938;390;-2.715491771697998
400;4716.01318359375;1617.7630615234375;400;0;400;0;400;0;400;0;400;0;400;0;400;-7;400;4716.01318359375;400;1617.7630615234375;400;4.8255844116210938;400;-2.715491771697998
410;4716.033203125;1617.7724609375;410;0;410;0;410;0;410;0;410;0;410;0;410;2;410;4716.033203125;410;1617.7724609375;410;5.104590892791748;410;-2.7155699729919434
420;4716.033203125;1617.7724609375;420;-0.88564421972881369;420;0;420;0.51132692866666674;420;0;420;0.0037876068790123458;420;0;420;-4;420;4716.033203125;420;1617.7724609375;420;5.104590892791748;420;-2.7155699729919434
430;4716.033203125;1617.7724609375;430;0;430;0;430;0;430;0;430;0;430;0;430;-3;430;4716.033203125;430;1617.7724609375;430;5.104590892791748;430;-2.7155699729919434
