Name;MeasurementsNew;
File;E:\hawino\Matlab\Reglertuning\tuning1_11.csv;
Starttime of export;133271641358622000;Freitag, 28. April 2023;16:02:15.862
Endtime of export;133271641468502000;Freitag, 28. April 2023;16:02:26.850


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;xKalman, yKalman X;xKalman, yKalman Y;xAdaptKalman, yAdaptKalman X;xAdaptKalman, yAdaptKalman Y;xObs;xRef;xCam;xKalman;xAdaptKalman;yObs;yRef;yCam;yKalman;yAdaptKalman;thetaObs;thetaCam;thetaKalman;thetaRef;thetaAdaptKalman;vX;vXRef;vXContr;vY;vYRef;vYContr;vTheta;vThetaRef;vThetaContr;accuracyTheta;accuracyXY;arcLengthSlow;Name;FeedForwardLinearization;Name;kObsDelayedCycles;maxAcc;maxRadius;maxRotAcc;maxRotVel;maxSlowVel;maxVel;samplingTime;sObsDelayedCycles;thetaDZ;vrot_max;vtrans_max;controllerKX;controllerKY;controllerKTheta;newCamDataArrived;bumper;enableGW2Dummy;state (Controller);yBoArrivedAtDestination;enableRobot (1);i1;i2;i3;enableRobot;K[0,0]
54;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;268;0;54;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-3;0;2;0;4
56;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;278;0;56;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-3;0;2;0;4
58;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;288;0;58;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;-3;0;2;0;4
60;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;298;0;60;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;0;1;-2;0;4
62;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;308;0;62;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;0;1;0;0;4
64;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;318;0;64;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;0;1;2;0;4
66;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;328;0;66;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;0;1;0;0;4
68;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;338;0;68;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;0;1;-4;0;4
70;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;348;0;70;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;1;0;-3;0;4
72;2454.6357421875;2936.18359375;2453.0248892138716;2935.7754980333048;3235;2941;2454.6357423067816;2936.1835933478947;2470.5790200223428;2934.4775517855592;2453.0248892138716;3235;2454.6357421875;2454.6357423067816;2470.5790200223428;2935.7754980333048;2941;2936.18359375;2936.1835933478947;2934.4775517855592;-3.1461892871235935;-3.1399829387664795;-3.1399608169745741;-6.2831853071795862;-3.1552993635490756;0;0;0;0;0;0;0;0;0;0.01;2;0.2;358;0;72;61;0.5;0.2;100;100;0.08;0.6;0.05;80;0.2;3;934;4;4;0.5;0;0;0;4;0;0;1;0;0;0;4
