SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVYfromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVXfromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InVThetafromMotors;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[2];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[1];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalInports.TcModuleInput_InCameraPose[0];SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstY;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstX;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutEstTheta;SymbolName;Object3 (DraftSimpleEstimator_R2021b).AdditionalOutports.TcModuleOutput_OutDebugCase
NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1;NetID;5.53.205.214.1.1
Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350;Port;350

750;0;750;0;750;0;750;-0.05566493421792984;750;1617.82373046875;750;3775.975341796875;750;1617.82373046875;750;3775.975341796875;750;-0.05566493421792984;750;1
760;0;760;0;760;0;760;-0.05566493421792984;760;1617.82373046875;760;3775.975341796875;760;1617.82373046875;760;3775.975341796875;760;-0.05566493421792984;760;1
770;0;770;0;770;0;770;-0.056823663413524628;770;1617.76318359375;770;3776.149169921875;770;1617.82373046875;770;3775.975341796875;770;-0.05566493421792984;770;1
780;0;780;0;780;0;780;-0.056823663413524628;780;1617.76318359375;780;3776.149169921875;780;1617.76318359375;780;3776.149169921875;780;-0.056823663413524628;780;1
790;0;790;0;790;0;790;-0.056823663413524628;790;1617.76318359375;790;3776.149169921875;790;1617.76318359375;790;3776.149169921875;790;-0.056823663413524628;790;1
800;0;800;0;800;0;800;-0.056823663413524628;800;1617.76318359375;800;3776.149169921875;800;1617.76318359375;800;3776.149169921875;800;-0.056823663413524628;800;1
810;0;810;0;810;0;810;-0.056823663413524628;810;1617.76318359375;810;3776.149169921875;810;1617.76318359375;810;3776.149169921875;810;-0.056823663413524628;810;1
820;0;820;0;820;0;820;-0.057207226753234863;820;1617.820556640625;820;3776.0126953125;820;1617.76318359375;820;3776.149169921875;820;-0.056823663413524628;820;1
830;0;830;0;830;0;830;-0.057207226753234863;830;1617.820556640625;830;3776.0126953125;830;1617.820556640625;830;3776.0126953125;830;-0.057207226753234863;830;1
840;0;840;0;840;0;840;-0.057207226753234863;840;1617.820556640625;840;3776.0126953125;840;1617.820556640625;840;3776.0126953125;840;-0.057207226753234863;840;1
850;0;850;0;850;0;850;-0.057207226753234863;850;1617.820556640625;850;3776.0126953125;850;1617.820556640625;850;3776.0126953125;850;-0.057207226753234863;850;1
860;0;860;0;860;0;860;-0.057207226753234863;860;1617.820556640625;860;3776.0126953125;860;1617.820556640625;860;3776.0126953125;860;-0.057207226753234863;860;1
870;0;870;0;870;0;870;-0.057207226753234863;870;1617.820556640625;870;3776.0126953125;870;1617.820556640625;870;3776.0126953125;870;-0.057207226753234863;870;1
880;0;880;0;880;0;880;-0.057273581624031067;880;1617.80517578125;880;3776.06103515625;880;1617.820556640625;880;3776.0126953125;880;-0.057207226753234863;880;1
890;0;890;0;890;0;890;-0.057273581624031067;890;1617.80517578125;890;3776.06103515625;890;1617.80517578125;890;3776.06103515625;890;-0.057273581624031067;890;1
900;0;900;0;900;0;900;-0.057273581624031067;900;1617.80517578125;900;3776.06103515625;900;1617.80517578125;900;3776.06103515625;900;-0.057273581624031067;900;1
910;0;910;0;910;0;910;-0.057273581624031067;910;1617.80517578125;910;3776.06103515625;910;1617.80517578125;910;3776.06103515625;910;-0.057273581624031067;910;1
920;0;920;0;920;0;920;-0.057273581624031067;920;1617.80517578125;920;3776.06103515625;920;1617.80517578125;920;3776.06103515625;920;-0.057273581624031067;920;1
930;0;930;0;930;0;930;-0.056320827454328537;930;1617.8843994140625;930;3776.0849609375;930;1617.80517578125;930;3776.06103515625;930;-0.057273581624031067;930;1
940;0;940;0;940;0;940;-0.056320827454328537;940;1617.8843994140625;940;3776.0849609375;940;1617.8843994140625;940;3776.0849609375;940;-0.056320827454328537;940;1
950;0;950;0;950;0;950;-0.056320827454328537;950;1617.8843994140625;950;3776.0849609375;950;1617.8843994140625;950;3776.0849609375;950;-0.056320827454328537;950;1
960;0;960;0;960;0;960;-0.056320827454328537;960;1617.8843994140625;960;3776.0849609375;960;1617.8843994140625;960;3776.0849609375;960;-0.056320827454328537;960;1
970;0;970;0;970;0;970;-0.056320827454328537;970;1617.8843994140625;970;3776.0849609375;970;1617.8843994140625;970;3776.0849609375;970;-0.056320827454328537;970;1
980;0;980;0;980;0;980;-0.056320827454328537;980;1617.8843994140625;980;3776.0849609375;980;1617.8843994140625;980;3776.0849609375;980;-0.056320827454328537;980;1
990;0;990;0;990;0;990;-0.056977331638336182;990;1617.782958984375;990;3776.16162109375;990;1617.8843994140625;990;3776.0849609375;990;-0.056320827454328537;990;1
1000;0;1000;0;1000;0;1000;-0.056977331638336182;1000;1617.782958984375;1000;3776.16162109375;1000;1617.782958984375;1000;3776.16162109375;1000;-0.056977331638336182;1000;1
1010;0;1010;0;1010;0;1010;-0.056977331638336182;1010;1617.782958984375;1010;3776.16162109375;1010;1617.782958984375;1010;3776.16162109375;1010;-0.056977331638336182;1010;1
1020;0;1020;0;1020;0;1020;-0.056977331638336182;1020;1617.782958984375;1020;3776.16162109375;1020;1617.782958984375;1020;3776.16162109375;1020;-0.056977331638336182;1020;1
1030;0;1030;0;1030;0;1030;-0.056977331638336182;1030;1617.782958984375;1030;3776.16162109375;1030;1617.782958984375;1030;3776.16162109375;1030;-0.056977331638336182;1030;1
1040;0;1040;0;1040;0;1040;-0.056977331638336182;1040;1617.782958984375;1040;3776.16162109375;1040;1617.782958984375;1040;3776.16162109375;1040;-0.056977331638336182;1040;1
1050;0;1050;0;1050;0;1050;-0.057051066309213638;1050;1617.8607177734375;1050;3776.14892578125;1050;1617.782958984375;1050;3776.16162109375;1050;-0.056977331638336182;1050;1
1060;0;1060;0;1060;0;1060;-0.057051066309213638;1060;1617.8607177734375;1060;3776.14892578125;1060;1617.8607177734375;1060;3776.14892578125;1060;-0.057051066309213638;1060;1
1070;0;1070;0;1070;0;1070;-0.057051066309213638;1070;1617.8607177734375;1070;3776.14892578125;1070;1617.8607177734375;1070;3776.14892578125;1070;-0.057051066309213638;1070;1
1080;0;1080;0;1080;0;1080;-0.057051066309213638;1080;1617.8607177734375;1080;3776.14892578125;1080;1617.8607177734375;1080;3776.14892578125;1080;-0.057051066309213638;1080;1
1090;0;1090;0;1090;0;1090;-0.057051066309213638;1090;1617.8607177734375;1090;3776.14892578125;1090;1617.8607177734375;1090;3776.14892578125;1090;-0.057051066309213638;1090;1
1100;0;1100;0;1100;0;1100;-0.057027284055948257;1100;1617.7889404296875;1100;3776.033203125;1100;1617.8607177734375;1100;3776.14892578125;1100;-0.057051066309213638;1100;1
1110;0;1110;0;1110;0;1110;-0.057027284055948257;1110;1617.7889404296875;1110;3776.033203125;1110;1617.7889404296875;1110;3776.033203125;1110;-0.057027284055948257;1110;1
1120;0;1120;0;1120;0;1120;-0.057027284055948257;1120;1617.7889404296875;1120;3776.033203125;1120;1617.7889404296875;1120;3776.033203125;1120;-0.057027284055948257;1120;1
1130;0;1130;0;1130;0;1130;-0.057027284055948257;1130;1617.7889404296875;1130;3776.033203125;1130;1617.7889404296875;1130;3776.033203125;1130;-0.057027284055948257;1130;1
1140;0;1140;0;1140;0;1140;-0.057027284055948257;1140;1617.7889404296875;1140;3776.033203125;1140;1617.7889404296875;1140;3776.033203125;1140;-0.057027284055948257;1140;1
1150;0;1150;0;1150;0;1150;-0.057027284055948257;1150;1617.7889404296875;1150;3776.033203125;1150;1617.7889404296875;1150;3776.033203125;1150;-0.057027284055948257;1150;1
1160;0;1160;0;1160;0;1160;-0.057010438293218613;1160;1617.830078125;1160;3776.230712890625;1160;1617.7889404296875;1160;3776.033203125;1160;-0.057027284055948257;1160;1
1170;0;1170;0;1170;0;1170;-0.057010438293218613;1170;1617.830078125;1170;3776.230712890625;1170;1617.830078125;1170;3776.230712890625;1170;-0.057010438293218613;1170;1
1180;0;1180;0;1180;0;1180;-0.057010438293218613;1180;1617.830078125;1180;3776.230712890625;1180;1617.830078125;1180;3776.230712890625;1180;-0.057010438293218613;1180;1
1190;0;1190;0;1190;0;1190;-0.057010438293218613;1190;1617.830078125;1190;3776.230712890625;1190;1617.830078125;1190;3776.230712890625;1190;-0.057010438293218613;1190;1
1200;0;1200;0;1200;0;1200;-0.057010438293218613;1200;1617.830078125;1200;3776.230712890625;1200;1617.830078125;1200;3776.230712890625;1200;-0.057010438293218613;1200;1
1210;0;1210;0;1210;0;1210;-0.057010438293218613;1210;1617.830078125;1210;3776.230712890625;1210;1617.830078125;1210;3776.230712890625;1210;-0.057010438293218613;1210;1
1220;0;1220;0;1220;0;1220;-0.0572335459291935;1220;1617.7713623046875;1220;3775.9697265625;1220;1617.830078125;1220;3776.230712890625;1220;-0.057010438293218613;1220;1
1230;0;1230;0;1230;0;1230;-0.0572335459291935;1230;1617.7713623046875;1230;3775.9697265625;1230;1617.7713623046875;1230;3775.9697265625;1230;-0.0572335459291935;1230;1
1240;0;1240;0;1240;0;1240;-0.0572335459291935;1240;1617.7713623046875;1240;3775.9697265625;1240;1617.7713623046875;1240;3775.9697265625;1240;-0.0572335459291935;1240;1
1250;0;1250;0;1250;0;1250;-0.0572335459291935;1250;1617.7713623046875;1250;3775.9697265625;1250;1617.7713623046875;1250;3775.9697265625;1250;-0.0572335459291935;1250;1
1260;0;1260;0;1260;0;1260;-0.0572335459291935;1260;1617.7713623046875;1260;3775.9697265625;1260;1617.7713623046875;1260;3775.9697265625;1260;-0.0572335459291935;1260;1
1270;0;1270;0;1270;0;1270;-0.0569443516433239;1270;1617.7806396484375;1270;3775.976318359375;1270;1617.7713623046875;1270;3775.9697265625;1270;-0.0572335459291935;1270;1
1280;0;1280;0;1280;0;1280;-0.0569443516433239;1280;1617.7806396484375;1280;3775.976318359375;1280;1617.7806396484375;1280;3775.976318359375;1280;-0.0569443516433239;1280;1
1290;0;1290;0;1290;0;1290;-0.0569443516433239;1290;1617.7806396484375;1290;3775.976318359375;1290;1617.7806396484375;1290;3775.976318359375;1290;-0.0569443516433239;1290;1
1300;0;1300;0;1300;0;1300;-0.0569443516433239;1300;1617.7806396484375;1300;3775.976318359375;1300;1617.7806396484375;1300;3775.976318359375;1300;-0.0569443516433239;1300;1
1310;0;1310;0;1310;0;1310;-0.0569443516433239;1310;1617.7806396484375;1310;3775.976318359375;1310;1617.7806396484375;1310;3775.976318359375;1310;-0.0569443516433239;1310;1
1320;0;1320;0;1320;0;1320;-0.05694282054901123;1320;1617.8131103515625;1320;3775.878173828125;1320;1617.7806396484375;1320;3775.976318359375;1320;-0.0569443516433239;1320;1
1330;0;1330;0;1330;0;1330;-0.05694282054901123;1330;1617.8131103515625;1330;3775.878173828125;1330;1617.8131103515625;1330;3775.878173828125;1330;-0.05694282054901123;1330;1
1340;0;1340;0;1340;0;1340;-0.05694282054901123;1340;1617.8131103515625;1340;3775.878173828125;1340;1617.8131103515625;1340;3775.878173828125;1340;-0.05694282054901123;1340;1
