Name;SimplePoseEst;
File;E:\TestfahrtDraftSimpleEstimator\Fahrt_3_vxR500_Verdreht in_richtungY_aufgebockt.csv;
Starttime of export;133209555656432000;Mittwoch, 15. Februar 2023;18:26:05.643
Endtime of export;133209556180532000;Mittwoch, 15. Februar 2023;18:26:58.053


Name;TcModuleOutput_Estimator_vWorld[0] (1);Name;TcModuleOutput_Estimator_vWorld[1] (1);Name;TcModuleOutput_Estimator_vWorld[2] (1);Name;TcModuleOutput_Estimator_vMotors[0] (1);Name;TcModuleOutput_Estimator_vMotors[1] (1);Name;TcModuleOutput_Estimator_vMotors[2] (1);Name;TcModuleOutput_Estimator_vWorld[0];Name;TcModuleOutput_Estimator_vWorld[1];Name;TcModuleOutput_Estimator_vWorld[2];Name;TcModuleOutput_Estimator_vMotors[0];Name;TcModuleOutput_Estimator_vMotors[1];Name;TcModuleOutput_Estimator_vMotors[2];Name;TcModuleInput_InVYfromMotors;Name;TcModuleInput_InVXfromMotors;Name;TcModuleInput_InVThetafromMotors;Name;TcModuleInput_InCameraPose[2];Name;TcModuleInput_InCameraPose[1];Name;TcModuleInput_InCameraPose[0];Name;TcModuleOutput_OutEstY;Name;TcModuleOutput_OutEstX;Name;TcModuleOutput_OutEstTheta;Name;TcModuleOutput_OutDebugCase;Name;TcModuleOutput_Estimator_vWorld[0] (2);Name;TcModuleOutput_Estimator_vWorld[1] (2);Name;TcModuleOutput_Estimator_vWorld[2] (2);Name;TcModuleOutput_Estimator_vMotors[0] (2);Name;TcModuleOutput_Estimator_vMotors[1] (2);Name;TcModuleOutput_Estimator_vMotors[2] (2)
170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;0;170;2;170;0;170;0;170;0;170;0;170;0;170;0
180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;0;180;2;180;0;180;0;180;0;180;0;180;0;180;0
190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;0;190;2;190;0;190;0;190;0;190;0;190;0;190;0
200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;0;200;2;200;0;200;0;200;0;200;0;200;0;200;0
210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;0;210;2;210;0;210;0;210;0;210;0;210;0;210;0
220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;0;220;2;220;0;220;0;220;0;220;0;220;0;220;0
230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;0;230;2;230;0;230;0;230;0;230;0;230;0;230;0
240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;0;240;2;240;0;240;0;240;0;240;0;240;0;240;0
250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;0;250;2;250;0;250;0;250;0;250;0;250;0;250;0
260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;0;260;2;260;0;260;0;260;0;260;0;260;0;260;0
