Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\cyclicTrajectory.csv;
Starttime of export;133244135421787000;Montag, 27. März 2023;19:59:02.178
Endtime of export;133244136106087000;Montag, 27. März 2023;20:00:10.608


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;thetaObs (1);thetaRef;thetaCam;thetaObs
SampleTime[ms];10;10;10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True;True;True
SymbolName;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.observer.yObserverdPose.y;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yObserverdPose.theta;ControlPRG.trajectory.referencePose.theta;ControlPRG.observer.xCameraPose.theta;ControlPRG.observer.yObserverdPose.theta
NetID;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1
Port;851;851;851;851;851;851;851;851;851;851

750;1684.59033203125;1478.72900390625;1649.1157949723527;1636.4779665464525;1650;1839.817099541765;1.6181384235506824;1.5072740420605255;1.5552936792373657;1.6181384235506824
760;1684.7530517578125;1500.794189453125;1650.0413949062004;1642.0620609942894;1650;1864.8170995417647;1.6115373594477174;1.4612882391454378;1.5503437519073486;1.6115373594477174
770;1684.7530517578125;1500.794189453125;1651.0111858812859;1646.9595854723418;1650;1864.8170995417647;1.6065634762387848;1.4612882391454378;1.5503437519073486;1.6065634762387848
780;1684.7530517578125;1500.794189453125;1651.5752273236947;1652.0071431013919;1650;1864.8170995417647;1.6058097215119254;1.4612882391454378;1.5503437519073486;1.6058097215119254
790;1684.7530517578125;1500.794189453125;1652.0437213181074;1657.4326713196135;1650;1864.8170995417647;1.6031528281867198;1.4612882391454378;1.5503437519073486;1.6031528281867198
800;1685.4130859375;1514.876220703125;1652.9485619558434;1662.5527078506148;1650;1864.8170995417647;1.5953186041383412;1.4612882391454378;1.5313866138458252;1.5953186041383412
810;1685.4130859375;1514.876220703125;1654.2077158393388;1667.620984771462;1650;1889.8170995417647;1.5888819941286618;1.4153844117839582;1.5313866138458252;1.5888819941286618
820;1685.4130859375;1514.876220703125;1655.2247998010619;1672.701964489544;1650;1889.8170995417647;1.5860502060353761;1.4153844117839582;1.5313866138458252;1.5860502060353761
830;1685.4130859375;1514.876220703125;1655.7998702137297;1677.5987821412275;1650;1889.8170995417647;1.5825906633768061;1.4153844117839582;1.5313866138458252;1.5825906633768061
840;1687.665283203125;1539.962646484375;1656.2526376356825;1682.9771810931063;1650;1889.8170995417647;1.5772378975038175;1.4153844117839582;1.5245683193206787;1.5772378975038175
