Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\testauftrag.csv;
Starttime of export;133245718363175000;Mittwoch, 29. März 2023;15:57:16.317
Endtime of export;133245718651045081;Mittwoch, 29. März 2023;15:57:45.104


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;thetaObs (1);thetaRef;thetaCam;thetaObs
SampleTime[ms];10;10;10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True;True;True
SymbolName;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.observer.yObserverdPose.y;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yObserverdPose.theta;ControlPRG.trajectory.referencePose.theta;ControlPRG.observer.xCameraPose.theta;ControlPRG.observer.yObserverdPose.theta
NetID;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1
Port;851;851;851;851;851;851;851;851;851;851

780;1818.799072265625;1366.9093017578125;1818.7877581681703;1366.8862849817413;0;0;-1.5794937074815212;0;-1.5792961120605469;-1.5794937074815212
790;1818.799072265625;1366.9093017578125;1818.7878713091448;1366.886515149502;0;0;-1.5794917315273114;0;-1.5792961120605469;-1.5794917315273114
800;1818.799072265625;1366.9093017578125;1818.7879833187096;1366.8867430155851;0;0;-1.5794897753326438;0;-1.5792961120605469;-1.5794897753326438
810;1818.798583984375;1366.8818359375;1818.7880942081788;1366.8869686030073;0;0;-1.5794878386999227;0;-1.5792810916900635;-1.5794878386999227
820;1818.798583984375;1366.8818359375;1818.7882039887531;1366.8871919345554;0;0;-1.5794859214335291;0;-1.5792810916900635;-1.5794859214335291
830;1818.798583984375;1366.8818359375;1818.7883077887093;1366.8871383745848;0;0;-1.5794838731360945;0;-1.5792810916900635;-1.5794838731360945
840;1818.798583984375;1366.8818359375;1818.788410550666;1366.887085350214;0;0;-1.5794818453216342;0;-1.5792810916900635;-1.5794818453216342
850;1818.798583984375;1366.8818359375;1818.788512285003;1366.8870328560868;0;0;-1.5794798377853185;0;-1.5792810916900635;-1.5794798377853185
860;1818.80322265625;1366.9017333984375;1818.7886130019967;1366.8869808869008;0;0;-1.5794778503243661;0;-1.5797464847564697;-1.5794778503243661
870;1818.80322265625;1366.9017333984375;1818.7887127118206;1366.8869294374067;0;0;-1.5794758827380231;0;-1.5797464847564697;-1.5794758827380231
880;1818.80322265625;1366.9017333984375;1818.788857811265;1366.8870774770171;0;0;-1.5794785887582075;0;-1.5797464847564697;-1.5794785887582075
890;1818.80322265625;1366.9017333984375;1818.7890014597149;1366.8872240362314;0;0;-1.57948126771819;0;-1.5797464847564697;-1.57948126771819
900;1818.779541015625;1366.895751953125;1818.7891436716802;1366.8873691298534;0;0;-1.5794839198885728;0;-1.5797505378723145;-1.5794839198885728
910;1818.779541015625;1366.895751953125;1818.789284461526;1366.8875127725391;0;0;-1.5794865455372518;0;-1.5797505378723145;-1.5794865455372518
920;1818.779541015625;1366.895751953125;1818.7891870270669;1366.8875951643449;0;0;-1.5794891854606024;0;-1.5797505378723145;-1.5794891854606024
