Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\Rectangle_P3_vRef500.csv;
Starttime of export;133228422645538000;Donnerstag, 9. März 2023;14:31:04.553
Endtime of export;133228422862727344;Donnerstag, 9. März 2023;14:31:26.272


Name;x, y X;x, y Y;xRef, yRef X;xRef, yRef Y;xObs, yObs X;xObs, yObs Y;vYworldToSimulink;vXworldToSimulink
SampleTime[ms];10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True
SymbolName;TrackingController.observer.xCameraPose.x;TrackingController.observer.xCameraPose.y;TrackingController.trajectory.xRef;TrackingController.trajectory.yRef;TrackingController.observer.yObserverdPose.x;TrackingController.observer.yObserverdPose.y;TrackingController.observer.vYworldToSimulink;TrackingController.observer.vXworldToSimulink
NetID;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1
Port;851;851;851;851;851;851;851;851

800;1039.753662109375;993.456298828125;1171;1000;1052.5438217931774;993.56608096096465;-23.5282177503474;240.2946658183553
810;1039.753662109375;993.456298828125;1171;1000;1062.4447361695034;989.77952464578732;-2.4325137396702416;249.75081598718276
820;1039.753662109375;993.456298828125;1171;1000;1063.7879263696138;990.25242365955444;-19.594048657694316;246.45245991684283
830;1039.753662109375;993.456298828125;1190;1000;1064.6942867715534;990.67221567507033;-9.1364287459620783;254.54824750198787
840;1044.89501953125;992.92950439453125;1190;1000;1065.8649442979008;990.80524652688621;-3.025774801352874;251.75620671789292
850;1044.89501953125;992.92950439453125;1190;1000;1072.321216571436;990.51680404374929;-15.288580864915417;298.8446728611371
860;1044.89501953125;992.92950439453125;1190;1000;1073.2010342760295;990.58088490590524;-13.997904683370294;311.63166655612974
870;1044.89501953125;992.92950439453125;1190;1000;1074.5907622622069;990.82176197633851;16.175105171341635;316.23010333232691
880;1044.89501953125;992.92950439453125;1210;1000;1076.3872320775081;991.05305269060807;-4.8082929502897542;307.39747345869449
890;1051.5081787109375;992.056884765625;1210;1000;1077.9304652048002;991.00958236396491;-20.122155465725669;325.35598500811579
900;1051.5081787109375;992.056884765625;1210;1000;1085.9718228955205;990.09316317868615;-4.7138328817673312;329.44021153161134
910;1051.5081787109375;992.056884765625;1210;1000;1087.4787835335042;990.39887637811717;-5.8995319230562444;338.44817154108313
920;1051.5081787109375;992.056884765625;1210;1000;1088.9235301395588;990.61465125554685;-7.9748182457479118;337.38192162166411
930;1065.471923828125;991.71142578125;1231;1000;1090.4841150776013;990.48155767068386;6.47013787119959;340.22914840214207
940;1065.471923828125;991.71142578125;1231;1000;1105.9148698474353;990.24589829334457;3.6730419318629117;363.23701922810483
950;1065.471923828125;991.71142578125;1231;1000;1106.9495413306768;990.63265720457639;-22.623033728539156;364.04160776539959
960;1065.471923828125;991.71142578125;1231;1000;1108.1789648647741;990.90466980139854;-24.839353652799289;366.6827891300664
970;1074.773193359375;991.348876953125;1231;1000;1109.3218727825563;990.70276460150978;-6.3855978386001055;382.1699480003536
980;1074.773193359375;991.348876953125;1253;1000;1119.8254456059385;990.28776272343384;10.12061900795657;393.97407803392906
990;1074.773193359375;991.348876953125;1253;1000;1121.1016626109222;990.31527103250744;11.94929233502733;396.69772664140419
1000;1074.773193359375;991.348876953125;1253;1000;1122.5238413240827;990.44673497060046;13.505685516994397;389.76575676847597
1010;1074.773193359375;991.348876953125;1253;1000;1123.5023718618852;990.71911370259988;1.4192527796034824;413.88915842230284
1020;1085.75;991.50262451171875;1253;1000;1124.2837127640087;990.99414960460354;-25.331521925420944;444.69944938023411
1030;1085.75;991.50262451171875;1276;1000;1136.2371099555335;991.0003386392799;-17.932012384037492;452.45791969444883
1040;1085.75;991.50262451171875;1276;1000;1137.6101297147488;990.79510634952862;8.59986002188296;425.28328379530507
1050;1085.75;991.50262451171875;1276;1000;1138.8811490616122;990.81700778034553;36.639949231654818;442.51537342658662
1060;1109.3179931640625;987.771728515625;1276;1000;1139.8395797842491;990.950144709382;47.808962691827759;458.731444339531
1070;1109.3179931640625;987.771728515625;1276;1000;1164.4482449671666;987.64464352483537;27.525602362448318;443.83505737846411
1080;1109.3179931640625;987.771728515625;1300;1000;1165.6617401943454;988.20248133421114;27.154238394188546;446.30136715268389
1090;1109.3179931640625;987.771728515625;1300;1000;1166.6977992841087;988.41303597912361;6.0671519368909941;480.91247971398172
1100;1123.35107421875;986.421142578125;1300;1000;1167.5284427633544;988.64784794374691;2.5787978956813475;473.40881771291095
