SymbolBased;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True
SymbolName;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.observer.yObserverdPose.y;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yKalmanObservedPose.x;ControlPRG.observer.yKalmanObservedPose.y;ControlPRG.observer.yObserverdPose.theta;ControlPRG.trajectory.referencePose.theta;Object4 (KalmanObserver_R2021b).AdditionalOutports.TcModuleOutput_DEBUG;ControlPRG.observer.xCameraPose.x;ControlPRG.observer.xCameraPose.y;ControlPRG.observer.yObserverdPose.y;ControlPRG.observer.yObserverdPose.x;ControlPRG.trajectory.referencePose.x;ControlPRG.trajectory.referencePose.y;ControlPRG.observer.yObserverdPose.theta;Object4 (KalmanObserver_R2021b).AdditionalOutports.TcModuleOutput_DEBUG;Object4 (KalmanObserver_R2021b).AdditionalOutports.TcModuleOutput_DEBUG
NetID;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1;5.53.205.214.1.1
Port;851;851;851;851;851;851;851;851;851;851;354;851;851;851;851;851;851;851;354;354

320;970.027587890625;972.12432861328125;1001.9471865423731;1003.6748312766897;0;0;1001.9471865423731;1003.6748312766897;3.1515523895492548;0;0;970.027587890625;972.12432861328125;1003.6748312766897;1001.9471865423731;0;0;3.1515523895492548;0;0
330;970.027587890625;972.12432861328125;999.77541674054555;1001.542167792989;0;0;999.77541674054555;1001.542167792989;3.14504323666388;0;1;970.027587890625;972.12432861328125;1001.542167792989;999.77541674054555;0;0;3.14504323666388;1;1
340;970.027587890625;972.12432861328125;998.80105340742489;1000.605118854098;0;0;998.80105340742489;1000.605118854098;3.1422714599277382;0;0;970.027587890625;972.12432861328125;1000.605118854098;998.80105340742489;0;0;3.1422714599277382;0;0
350;970.027587890625;972.12432861328125;998.91415819102565;1000.7539464875002;0;0;998.91415819102565;1000.7539464875002;3.1428941863345132;0;0;970.027587890625;972.12432861328125;1000.7539464875002;998.91415819102565;0;0;3.1428941863345132;0;0
360;970.027587890625;972.12432861328125;1000.0158845975097;1001.8899847527504;0;0;1000.0158845975097;1001.8899847527504;3.1466031388246058;0;0;970.027587890625;972.12432861328125;1001.8899847527504;1000.0158845975097;0;0;3.1466031388246058;0;0
370;969.982177734375;972.1279296875;1002.0173697856013;1003.9245335206155;0;0;1002.0173697856013;1003.9245335206155;3.153121179776925;0;0;969.982177734375;972.1279296875;1003.9245335206155;1002.0173697856013;0;0;3.153121179776925;0;0
380;969.982177734375;972.1279296875;999.83412999717245;1001.7673488371568;0;0;999.83412999717245;1001.7673488371568;3.1464266094195157;0;1;969.982177734375;972.1279296875;1001.7673488371568;999.83412999717245;0;0;3.1464266094195157;1;1
390;969.982177734375;972.1279296875;998.8493991594878;1000.80823530873;0;0;998.8493991594878;1000.80823530873;3.1434876715740505;0;0;969.982177734375;972.1279296875;1000.80823530873;998.8493991594878;0;0;3.1434876715740505;0;0
400;969.982177734375;972.1279296875;998.95312822719188;1000.9372093466988;0;0;998.95312822719188;1000.9372093466988;3.1439596647440964;0;0;969.982177734375;972.1279296875;1000.9372093466988;998.95312822719188;0;0;3.1439596647440964;0;0
410;970.0322265625;972.1329345703125;1000.0463710779621;1002.055383956559;0;0;1000.0463710779621;1002.055383956559;3.1475326662004122;0;0;970.0322265625;972.1329345703125;1002.055383956559;1000.0463710779621;0;0;3.1475326662004122;0;0
