Name;XY Scope Project;
File;E:\hawino\Measurements\Trajectory\realTrajectory.csv;
Starttime of export;133228611284515000;Donnerstag, 9. März 2023;19:45:28.451
Endtime of export;133228611419320327;Donnerstag, 9. März 2023;19:45:41.932


Name;x, y X;x, y Y;xRef, yRef X;xRef, yRef Y;xObs, yObs X;xObs, yObs Y;vYworldToSimulink;vXworldToSimulink;e
SampleTime[ms];10;10;10;10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True;True;True;True
SymbolName;TrackingController.observer.xCameraPose.x;TrackingController.observer.xCameraPose.y;TrackingController.trajectory.xRef;TrackingController.trajectory.yRef;TrackingController.observer.yObserverdPose.x;TrackingController.observer.yObserverdPose.y;TrackingController.observer.vYworldToSimulink;TrackingController.observer.vXworldToSimulink;Camera.cameraData.robotPosition[2].e
NetID;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1
Port;851;851;851;851;851;851;851;851;851

560;1401.015625;1002.982421875;1412.5;1000;1402.5188016904951;1002.3056223559404;-1.4973845471415321;-8.3774063807574;3.7654819488525391
570;1401.015625;1002.982421875;1412.5;1000;1402.5592648476757;1002.4994591570547;-3.6644658842203581;-28.68740079007511;3.7654819488525391
580;1401.015625;1002.982421875;1412.5;1000;1402.6924929177308;1002.6453910289785;3.9444317379892864;46.385815105352663;3.7654819488525391
590;1401.015625;1002.982421875;1412.5;1000;1402.9529199479459;1002.7827756179013;16.228750979442751;65.373237741286275;3.7654819488525391
600;1401.015625;1002.982421875;1412.5;1000;1403.0637172104071;1002.8226701343202;-4.1099128817640436;-17.100004409481276;3.7654819488525391
610;1401.015625;1002.982421875;1418.75;1000;1403.1795532499423;1002.8096761420256;-13.131533503757368;-37.475315979791105;2.1209182739257812
620;1400.94921875;1003.7586669921875;1418.75;1000;1403.4021129796893;1002.8636080081245;7.7157381440278883;53.245076897830671;2.1209182739257812
630;1400.94921875;1003.7586669921875;1418.75;1000;1403.5831471045144;1002.8830473369794;0.50720757135624117;75.817932166928188;2.1209182739257812
640;1400.94921875;1003.7586669921875;1418.75;1000;1403.7923624609402;1002.9422995536331;-31.522961842219537;-0.30691732560949436;2.1209182739257812
650;1400.94921875;1003.7586669921875;1418.75;1000;1403.9988537073903;1003.0149930229537;-18.823363927885069;-24.933779025381696;2.1209182739257812
