Name;XY Scope Project;
File;E:\hawino\Measurements\VarianceMeasurement\NewVarinaceMeasurements\Scope Project.csv;
Starttime of export;133228407932529000;Donnerstag, 9. März 2023;14:06:33.252
Endtime of export;133228408164213426;Donnerstag, 9. März 2023;14:06:56.421


Name;x, y X;x, y Y;xRef, yRef X;xRef, yRef Y;vYworldToSimulink;vXworldToSimulink
SampleTime[ms];10;10;10;10;10;10
SymbolBased;True;True;True;True;True;True
SymbolName;TrackingController.observer.xCameraPose.x;TrackingController.observer.xCameraPose.y;TrackingController.trajectory.xRef;TrackingController.trajectory.yRef;TrackingController.observer.vYworldToSimulink;TrackingController.observer.vXworldToSimulink
NetID;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1;5.53.207.184.1.1
Port;851;851;851;851;851;851

440;497.69287109375;705.3046875;1000;1000;0;0
450;497.69287109375;705.3046875;1000;1000;0;0
460;497.69287109375;705.3046875;1000;1000;0;0
470;497.69287109375;705.3046875;1000;1000;0;0
480;497.69287109375;705.3046875;1000;1000;0;0
490;497.7701416015625;705.37371826171875;1000;1000;0;0
500;497.7701416015625;705.37371826171875;1000;1000;0;0
510;497.7701416015625;705.37371826171875;1000;1000;0;0
520;497.7701416015625;705.37371826171875;1000;1000;0;0
530;500.70379638671875;705.718017578125;1000;1000;0;0
540;500.70379638671875;705.718017578125;1000;1000;0;0
550;500.70379638671875;705.718017578125;1000;1000;0;0
560;500.70379638671875;705.718017578125;1000;1000;60.932371155384345;68.297387249291
570;500.64474487304688;705.59442138671875;1000;1000;144.31014614447051;183.0386514027694
580;500.64474487304688;705.59442138671875;1000;1000;108.12222223311565;226.28809187201614
590;500.64474487304688;705.59442138671875;1000;1000;60.79749303850712;137.32765361566572
600;500.64474487304688;705.59442138671875;1000;1000;32.844569057515095;138.78829044634043
610;500.64474487304688;705.59442138671875;1001;1000;67.266078441593919;115.78712619121424
620;497.6868896484375;705.329345703125;1001;1000;69.0458707626406;110.04482792001389
630;497.6868896484375;705.329345703125;1001;1000;118.21693352499037;95.031502690237176
640;497.6868896484375;705.329345703125;1001;1000;157.88326716759735;117.34151888893638
650;497.6868896484375;705.329345703125;1001;1000;148.51080562401364;173.76048904010096
660;497.78189086914062;705.15869140625;1003;1000;113.20085527502722;152.33341313736722
670;497.78189086914062;705.15869140625;1003;1000;118.44356567266721;159.59470642153423
680;497.78189086914062;705.15869140625;1003;1000;104.78462392231231;176.24244347747003
690;497.78189086914062;705.15869140625;1003;1000;122.35602752160781;185.0033740567593
700;497.78189086914062;705.15869140625;1003;1000;124.55823646915397;195.55096303800158
710;494.31341552734375;706.01446533203125;1006;1000;163.45130943329991;187.18742703000541
720;494.31341552734375;706.01446533203125;1006;1000;156.77745148227632;205.79743609636705
730;494.31341552734375;706.01446533203125;1006;1000;170.35041906657608;226.52975417836026
740;494.31341552734375;706.01446533203125;1006;1000;150.40324177579134;248.10206965404552
750;494.31341552734375;706.01446533203125;1006;1000;179.11924504598437;279.97750766989407
760;502.07363891601562;709.82470703125;1010;1000;183.33027141102377;309.08488857897049
770;502.07363891601562;709.82470703125;1010;1000;224.04177198409002;333.90820287716
780;502.07363891601562;709.82470703125;1010;1000;220.72461713020613;376.26359735834023
790;502.07363891601562;709.82470703125;1010;1000;246.07618757439496;407.12903376693782
800;499.955078125;712.64703369140625;1010;1000;234.90244013631303;443.02803567731627
810;499.955078125;712.64703369140625;1015;1000;231.93662647510107;478.99907225898852
820;499.955078125;712.64703369140625;1015;1000;230.91501891362577;489.92880652972843
830;499.955078125;712.64703369140625;1015;1000;230.29814467666364;487.89512626583524
840;507.56671142578125;716.3250732421875;1015;1000;270.079744968619;483.08468943605618
850;507.56671142578125;716.3250732421875;1015;1000;342.3189200091133;520.20111203665942
860;507.56671142578125;716.3250732421875;1021;1000;404.59214986739488;578.31908331635418
870;507.56671142578125;716.3250732421875;1021;1000;450.20763872358481;564.83596620790263
880;507.56671142578125;716.3250732421875;1021;1000;469.22522808293155;490.83541613370653
890;517.22021484375;729.2626953125;1021;1000;437.980047723545;446.55418059403314
900;517.22021484375;729.2626953125;1021;1000;364.24904115825785;501.47844686729945
910;517.22021484375;729.2626953125;1028;1000;332.92255901701958;590.35653798080489
920;517.22021484375;729.2626953125;1028;1000;375.94419718966;568.55694329708956
930;529.52606201171875;735.5389404296875;1028;1000;392.02517093653188;447.75181405201511
940;529.52606201171875;735.5389404296875;1028;1000;358.61239026096433;401.68487639636379
950;529.52606201171875;735.5389404296875;1028;1000;340.60353694978988;465.43986984031835
960;529.52606201171875;735.5389404296875;1036;1000;411.83307061493696;514.93673237950463
970;529.52606201171875;735.5389404296875;1036;1000;469.3689267457043;567.38026329242507
980;530.6151123046875;744.11627197265625;1036;1000;514.93221584326307;614.19657457961193
990;530.6151123046875;744.11627197265625;1036;1000;527.63179184282569;617.0986247926669
1000;530.6151123046875;744.11627197265625;1036;1000;499.42315246168226;641.84858670215726
1010;530.6151123046875;744.11627197265625;1045;1000;466.50014975849251;622.83156699950666
1020;548.99267578125;767.04913330078125;1045;1000;406.38204444385036;578.64137286981781
1030;548.99267578125;767.04913330078125;1045;1000;396.30049238258306;541.01311392399282
1040;548.99267578125;767.04913330078125;1045;1000;391.463825431756;578.49175159365655
1050;548.99267578125;767.04913330078125;1045;1000;445.52502869554968;603.193348505936
1060;548.99267578125;767.04913330078125;1055;1000;474.97498174283908;595.27776370379763
1070;558.9842529296875;779.29937744140625;1055;1000;470.30282752857619;632.8053195419626
1080;558.9842529296875;779.29937744140625;1055;1000;442.93073730748915;673.20243834047585
1090;558.9842529296875;779.29937744140625;1055;1000;424.30879826517969;694.637102800746
1100;558.9842529296875;779.29937744140625;1055;1000;464.12256399526387;650.92927600798726
1110;571.16998291015625;788.41668701171875;1066;1000;529.63308891779286;676.45184341824609
1120;571.16998291015625;788.41668701171875;1066;1000;524.19977868407045;734.08517248059059
1130;571.16998291015625;788.41668701171875;1066;1000;464.76443545200794;745.73186642852727
1140;571.16998291015625;788.41668701171875;1066;1000;417.13790344271257;624.84855159298911
1150;595.6009521484375;816.248779296875;1066;1000;377.93428383223238;557.32240521539381
1160;595.6009521484375;816.248779296875;1078;1000;388.21511835117508;611.05101842256
1170;595.6009521484375;816.248779296875;1078;1000;353.97335211101461;707.9600086445588
1180;595.6009521484375;816.248779296875;1078;1000;360.76950720940164;739.99173944729466
1190;595.6009521484375;816.248779296875;1078;1000;386.23031567592716;722.82148294601666
1200;609.66595458984375;827.23284912109375;1078;1000;434.41138739211613;703.58225321363091
1210;609.66595458984375;827.23284912109375;1091;1000;469.49119360194982;726.72685311447674
1220;609.66595458984375;827.23284912109375;1091;1000;351.41585851695504;722.37252166713142
1230;609.66595458984375;827.23284912109375;1091;1000;312.99167192001391;675.57343918986
1240;627.170166015625;836.465087890625;1091;1000;435.28299689052358;687.2065252913045
1250;627.170166015625;836.465087890625;1091;1000;356.2532630308379;727.60222479996037
1260;627.170166015625;836.465087890625;1105;1000;263.60671092885315;783.33635020406564
1270;627.170166015625;836.465087890625;1105;1000;355.23778120515442;762.73240917162479
1280;627.170166015625;836.465087890625;1105;1000;348.37435315493804;695.52488949114979
1290;659.64178466796875;859.08441162109375;1105;1000;330.7362064006017;734.95817417065587
1300;659.64178466796875;859.08441162109375;1105;1000;377.30953226184596;801.69255959223381
1310;659.64178466796875;859.08441162109375;1120;1000;266.44692156177251;785.97021475997872
1320;659.64178466796875;859.08441162109375;1120;1000;229.74573092089798;618.58746291145894
1330;659.64178466796875;859.08441162109375;1120;1000;306.79734700337292;568.89187331675089
1340;676.22869873046875;871.1224365234375;1120;1000;262.98793558455952;599.71899790870918
1350;676.22869873046875;871.1224365234375;1120;1000;174.21845418304878;630.2782201825338
1360;676.22869873046875;871.1224365234375;1136;1000;171.72580825966764;641.380944381895
1370;676.22869873046875;871.1224365234375;1136;1000;266.22844991309785;683.95958236232127
