Name;Measurements;
File;E:\hawino\Measurements\WallCrash.csv;
Starttime of export;133262943588028000;Dienstag, 18. April 2023;14:25:58.802
Endtime of export;133262943676393450;Dienstag, 18. April 2023;14:26:07.639


Name;xCam, yCam X;xCam, yCam Y;xObs, yObs X;xObs, yObs Y;xRef, yRef X;xRef, yRef Y;xKalman, yKalman X;xKalman, yKalman Y;xRef;xCam;xKalman;yObs;yRef;yCam;yKalman;thetaObs;thetaCam;thetaKalman;thetaRef;vX;vXRef;vXContr;vY;vYRef;vYContr;vTheta;vThetaRef;vThetaContr;newCamDataArrived;bumper;accuracyTheta;accuracyXY;arcLengthSlow;Name;FeedForwardLinearization;Name;kObsDelayedCycles;maxAcc;maxRadius;maxRotAcc;maxRotVel;maxSlowVel;maxVel;samplingTime;sObsDelayedCycles;thetaDZ;vrot_max;vtrans_max;i1;i2;i3
46;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;226;0;46;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;2
48;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;236;0;48;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;0;0;-1
50;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;246;0;50;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;0;0;-11
52;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;256;0;52;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;0;0;-8
54;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;266;0;54;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;0;0;0
56;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;276;0;56;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;0;0;0
58;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;286;0;58;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;-8
60;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;296;0;60;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;-9
62;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;306;0;62;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;-13
64;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;316;0;64;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;-4
66;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;326;0;66;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;0;0
68;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;336;0;68;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;2;0
70;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;346;0;70;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;2;0
72;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;356;0;72;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;2;0
74;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;366;0;74;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;2;-5
76;3062.22509765625;1591.0289306640625;3062.2097152110314;1591.0511161866609;0;0;3062.2250971004732;1591.0289322699503;0;3062.22509765625;3062.2250971004732;1591.0511161866609;0;1591.0289306640625;1591.0289322699503;0.32309327466935922;0.32269224524497986;0.32260438492768517;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;376;0;76;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;3;2;-12
78;3062.228515625;1591.05615234375;3062.2103920259342;1591.0512974883161;0;0;3062.2285157308952;1591.0561520198698;0;3062.228515625;3062.2285157308952;1591.0512974883161;0;1591.05615234375;1591.0561520198698;0.32309782121260539;0.32321956753730774;0.32323732600630178;0;0;0;0;0;0;0;0;0;0;1;0;0.01;2;0.2;386;0;78;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;1;0;-10
80;3062.228515625;1591.05615234375;3062.2103920259342;1591.0512974883161;0;0;3062.2285157308952;1591.0561520198698;0;3062.228515625;3062.2285157308952;1591.0512974883161;0;1591.05615234375;1591.0561520198698;0.32309782121260539;0.32321956753730774;0.32323732600630178;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;396;0;80;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;1;0;0
82;3062.228515625;1591.05615234375;3062.2103920259342;1591.0512974883161;0;0;3062.2285157308952;1591.0561520198698;0;3062.228515625;3062.2285157308952;1591.0512974883161;0;1591.05615234375;1591.0561520198698;0.32309782121260539;0.32321956753730774;0.32323732600630178;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;406;0;82;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;1;0;0
84;3062.228515625;1591.05615234375;3062.2103920259342;1591.0512974883161;0;0;3062.2285157308952;1591.0561520198698;0;3062.228515625;3062.2285157308952;1591.0512974883161;0;1591.05615234375;1591.0561520198698;0.32309782121260539;0.32321956753730774;0.32323732600630178;0;0;0;0;0;0;0;0;0;0;0;0;0.01;2;0.2;416;0;84;80;0.4;0.1;100;100;0.08;0.5;0.05;80;0.2;1.57;934;1;0;0
