t;xObs;xRef;xCam;xKalman
632;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
634;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
636;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
638;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
640;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
642;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
644;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
646;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
648;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
650;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
652;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
654;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
656;3297.13200330459;3227.6055744027631;3297.125;3297.1250001781527
658;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
660;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
662;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
664;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
666;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
668;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
670;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
672;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
674;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
676;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
678;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
680;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
682;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
684;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
686;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
688;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
690;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
692;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
694;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
696;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
698;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
700;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
702;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
704;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
706;3297.1333420059373;3227.6055744027631;3297.169189453125;3297.1691889525969
708;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
710;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
712;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
714;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
716;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
718;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
720;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
722;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
724;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
726;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
728;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
730;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
732;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
734;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
736;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
738;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
740;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
742;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
744;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
746;3297.133507514036;3227.6055744027631;3297.137939453125;3297.1379396528869
748;3297.1348360091556;3227.6055744027631;3297.17041015625;3297.1704097685156
750;3297.1348360091556;3227.6055744027631;3297.17041015625;3297.1704097685156
752;3297.1348360091556;3227.6055744027631;3297.17041015625;3297.1704097685156
754;3297.1348360091556;3227.6055744027631;3297.17041015625;3297.1704097685156
756;3297.1348360091556;3227.6055744027631;3297.17041015625;3297.1704097685156
758;3297.1348360091556;3227.6055744027631;3297.17041015625;3297.1704097685156
